,Year,SSB,FM,SSN_F,SSN_M,SSN,SJR F,...2,BOF F
122,2000,148,0.01,3617,2326,5943,0,0.01,0
123,2001,150,0.05,3672,2376,6048,0,0.05,0
124,2002,151,0.03,3717,2415,6132,0,0.03,0
125,2003,155,0,3822,2492,6314,0,0,0
126,2004,161,0,3955,2584,6539,0,0,0
127,2005,167,0,4088,2670,6757,0,0,0
128,2006,172,0,4218,2750,6969,0,0,0
129,2007,176,0.03,4305,2794,7099,0.03,0,0
130,2008,179,0.02,4364,2815,7179,0.02,0,0
131,2009,180,0.04,4398,2816,7214,0.05,0,0
132,2010,181,0.03,4417,2806,7223,0.03,0,0
133,2011,182,0.04,4433,2794,7227,0.04,0,0
134,2012,182,0.03,4441,2778,7219,0.03,0,0
135,2013,182,0.06,4426,2748,7174,0.06,0,0
136,2014,180,0.06,4374,2698,7072,0.06,0,0
137,2015,178,0.06,4321,2650,6971,0.06,0,0
138,2016,176,0.05,4281,2614,6895,0.05,0,0
139,2017,174,0.06,4239,2582,6821,0.06,0,0
140,2018,172,0.06,4183,2544,6726,0.06,0,0
141,2019,170,0.06,4129,2510,6639,0.06,0,0
142,2020,169,0.03,4113,2506,6619,0.03,0,0
