,Year,Season,Fleet,Catch,SE
268,1923,1,5,0.23,0.01
269,1924,1,5,0.14,0.01
270,1925,1,5,0.68,0.01
271,1926,1,5,0.18,0.01
272,1927,1,5,0.23,0.01
273,1930,1,5,10.21,0.01
274,1931,1,5,0.95,0.01
275,1932,1,5,0.68,0.01
276,1942,1,5,0.59,0.01
277,1944,1,5,1.5,0.01
278,1945,1,5,0.77,0.01
279,1946,1,5,1.36,0.01
280,1947,1,5,0.45,0.01
281,1948,1,5,1.36,0.01
282,1949,1,5,0.91,0.01
283,1951,1,5,0.45,0.01
284,1952,1,5,0.91,0.01
285,1953,1,5,0.9,0.01
286,1954,1,5,1.81,0.01
287,1955,1,5,0.9,0.01
288,1956,1,5,0.45,0.01
289,1957,1,5,3.18,0.01
290,1958,1,5,3.18,0.01
291,1959,1,5,1.81,0.01
292,1960,1,5,2.27,0.01
293,1961,1,5,3.18,0.01
294,1962,1,5,0.91,0.01
295,1963,1,5,0.45,0.01
296,1964,1,5,0.91,0.01
297,1965,1,5,2.27,0.01
298,1968,1,5,4.08,0.01
299,1970,1,5,0.91,0.01
300,1972,1,5,0.45,0.01
301,1973,1,5,0.91,0.01
302,1974,1,5,1.81,0.01
303,1975,1,5,1.36,0.01
304,1976,1,5,1.34,0.01
305,1977,1,5,0.28,0.01
306,1978,1,5,0.71,0.01
307,1979,1,5,4.75,0.01
308,1980,1,5,6.6,0.01
309,1981,1,5,8.59,0.01
310,1982,1,5,2.56,0.01
311,1983,1,5,2.2,0.01
312,1984,1,5,2.85,0.01
313,1985,1,5,18,0.01
314,1986,1,5,6.5,0.01
315,1987,1,5,8.94,0.01
316,1988,1,5,12.53,0.01
317,1989,1,5,8.31,0.01
318,1990,1,5,3.97,0.01
319,1991,1,5,8.68,0.01
320,1992,1,5,5.86,0.01
321,1993,1,5,8.95,0.01
322,1994,1,5,6.1,0.01
323,1995,1,5,1.93,0.01
324,1996,1,5,0.55,0.01
325,1997,1,5,0.2,0.01
326,1998,1,5,4.19,0.01
